FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.24141533.202505121005,87,,7110050,1,20250512,1005,89,13,0,0,0,0,0,92,24,0,0,0,0,0,3,202505121005,34.48565560311886,133.3551943,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141534.202505121005,87,,7110060,1,20250512,1005,95,25,0,0,0,0,0,105,23,0,0,0,0,0,3,202505121005,34.42263781303284,133.2070398,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141535.202505121005,87,,7110070,1,20250512,1005,58,19,0,0,0,0,0,61,23,0,0,0,0,0,3,202505121005,34.407573573012236,133.1699288,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141536.202505121005,87,,7110080,1,20250512,1005,37,23,0,0,0,0,0,30,9,0,0,0,0,0,3,202505121005,34.405688133009654,132.9629534,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141537.202505121005,87,,7110100,1,20250512,1005,6,3,0,0,0,0,0,14,4,0,0,0,0,0,3,202505121005,35.525440034486614,134.401402,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141538.202505121005,87,,7110120,1,20250512,1005,,,,0,0,0,1,,,,0,0,0,1,3,202505121005,35.52073503448066,133.602321,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141539.202505121005,87,,7110130,1,20250512,1005,65,18,0,0,0,0,0,57,17,0,0,0,0,0,3,202505121005,35.41880503435098,133.370183,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141540.202505121005,87,,7110220,1,20250512,1005,,,,0,0,0,1,,,,0,0,0,1,3,202505121005,35.19265103405972,134.203535,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141541.202505121005,87,,7110230,1,20250512,1005,28,8,0,0,0,0,0,25,9,0,0,0,0,0,3,202505121005,34.76131441349103,132.8171003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141542.202505121005,87,,7110300,1,20250512,1005,94,27,0,0,0,0,0,90,19,0,0,0,0,0,3,202505121005,34.38300703297858,132.459786,132.459786,34.38300703297858,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141543.202505121005,87,,7110310,1,20250512,1005,35,13,0,0,0,1,0,31,14,0,0,0,0,0,3,202505121005,34.37385803296604,132.421237,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141544.202505121005,87,,7116080,1,20250512,1005,37,16,0,0,0,0,0,38,13,0,0,0,0,0,3,202505121005,34.39666703299729,133.151389,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141545.202505121005,87,,7160010,1,20250512,1005,,,,0,0,0,1,,,,0,0,0,1,1,202505121005,34.5622222532229,133.1247222,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141546.202505121005,87,,7160020,1,20250512,1005,15,3,0,0,0,0,0,19,2,0,0,0,0,0,1,202505121005,35.07931507391195,132.8976065,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141547.202505121005,87,,7310030,1,20250512,1005,39,19,0,0,0,0,0,55,16,0,0,0,0,0,3,202505121005,34.49757349313508,133.4192187,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141548.202505121005,87,,7310040,1,20250512,1005,75,29,0,0,0,0,0,85,37,0,0,0,0,0,3,202505121005,34.4518823230728,133.2408893,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141549.202505121005,87,,7310050,1,20250512,1005,8,0,0,0,0,0,0,9,1,0,0,0,0,0,3,202505121005,35.52642103448786,134.014803,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141550.202505121005,87,,7310070,1,20250512,1005,17,5,0,0,0,0,0,18,4,0,0,0,0,0,3,202505121005,35.51442503447265,134.020507,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141551.202505121005,87,,7310080,1,20250512,1005,,,,0,0,0,1,,,,0,0,0,1,3,202505121005,35.50773503446417,133.951629,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141552.202505121005,87,,7310100,1,20250512,1005,13,0,0,0,0,0,0,26,3,0,0,0,0,0,3,202505121005,35.508808034465545,133.493736,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141553.202505121005,87,,7310130,1,20250512,1005,36,1,0,0,0,0,0,37,2,0,0,0,0,0,3,202505121005,35.419582034351976,134.259336,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141554.202505121005,87,,7310190,1,20250512,1005,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,202505121005,35.48752003443851,134.19798,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141555.202505121005,87,,7310200,1,20250512,1005,33,7,0,0,0,0,0,46,3,0,0,0,0,0,3,202505121005,35.56082603453137,134.284636,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141556.202505121005,87,,7310210,1,20250512,1005,31,8,0,0,0,0,0,39,11,0,0,0,0,0,3,202505121005,35.50841503446504,133.518074,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141557.202505121005,87,,7310220,1,20250512,1005,30,3,0,0,0,0,0,41,8,0,0,0,0,0,3,202505121005,35.527027804488625,134.13269444,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141558.202505121005,87,,7310230,1,20250512,1005,,,,0,0,0,1,,,,0,0,0,1,3,202505121005,35.51102780446835,134.20186111,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.24141559.202505121005,87,,7310240,1,20250512,1005,20,2,0,0,0,0,0,26,6,0,0,0,0,0,3,202505121005,35.397000034323106,134.20377777,,,,,,,,,,,,,,,,,
