地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2
86,,6810343,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,35.18777781405339,135.3219444,,
86,,6810344,1,20250702,2355,1,0,,3,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.24583336412865,135.2161111,,
86,,6810346,1,20250702,2355,3,0,,2,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.28305559417674,135.1777778,,
86,,6810348,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.3139820342166,135.101491,,
86,,6810360,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.333611034241834,134.917222,,
86,,6810365,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,36.25913403538918,136.286774,,
86,,6810370,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.38305603430526,134.671667,,
86,,6810390,1,20250702,2355,2,1,,1,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.48083303443001,134.585278,,
86,,6810400,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.50388903445929,134.533889,,
86,,6810410,1,20250702,2355,1,0,,0,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.5247220344857,134.4275,,
86,,6810420,1,20250702,2355,5,1,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.33111103423862,136.352222,,
86,,6810450,1,20250702,2355,3,1,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.229683032767404,135.169164,,
86,,6810500,1,20250702,2355,0,0,,3,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.58000003324698,135.466581,,
86,,6810510,1,20250702,2355,3,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.5797220332466,135.466581,,
86,,6810540,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,34.36000003294702,135.269444,,
86,,6810550,1,20250702,2355,0,0,,2,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.32270003289575,135.19756,,
86,,6810580,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.633611034623065,136.021389,,
86,,6810590,1,20250702,2355,1,0,,2,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.58083303455663,135.910417,,
86,,6810610,1,20250702,2355,0,0,,2,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.469444034415524,135.825,,
86,,6810620,1,20250702,2355,2,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.483056034432835,135.666111,,
86,,6810630,1,20250702,2355,1,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.48805603443919,135.595833,,
86,,6810660,1,20250702,2355,2,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.48083303443001,135.421389,,
86,,6810667,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.46027781440387,135.3566667,,
86,,6810670,1,20250702,2355,2,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.414167034345056,135.333056,,
86,,6810671,1,20250702,2355,5,0,,2,2,,0,,0,,0,0,0,0,,0,3,202507022355,35.37888892429992,135.3169444,,
86,,6810700,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,34.47239203310078,134.945572,,
86,,6810710,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.40363603300684,134.896767,,
86,,6810720,1,20250702,2355,2,0,,1,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.26169203281165,134.728943,,
86,,6810730,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.85305603361341,134.605278,,
86,,6810740,1,20250702,2355,0,0,,4,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.87691203364509,134.61312,,
86,,6810750,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.07068203390065,134.587422,,
86,,6810760,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.145672033998615,134.539014,,
86,,6810770,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.692375032012194,135.984591,,
86,,6810780,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.61777803190555,135.927061,,
86,,6810790,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,33.56853903183492,135.910197,,
86,,6810800,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,33.50323103174097,135.806228,,
86,,6810810,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,33.48392803171314,135.760481,,
86,,6810820,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.509890031750565,135.60639100000003,,
86,,6810830,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.51850003176297,135.57,,
86,,6810840,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.554167031814266,135.458889,,
86,,6810850,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.70273603202697,135.411942,,
86,,6810860,1,20250702,2355,4,0,,5,0,,0,,0,,0,0,0,0,,0,3,202507022355,33.72250003205514,135.404722,,
86,,6810880,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.748889032092684,135.3275,,
86,,6810890,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,33.7811110321385,135.3025,,
86,,6810900,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,33.91892803233343,135.146508,,
86,,6810910,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,33.94659203237239,135.12965,,
86,,6810920,1,20250702,2355,2,0,,3,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.04305603250771,135.189722,,
86,,6810930,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,34.047035032513286,135.189167,,
86,,6810950,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,34.19539403271991,135.169583,,
86,,6810960,1,20250702,2355,0,0,,4,0,,0,,0,,0,0,0,0,,0,3,202507022355,33.74962803209376,135.359472,,
86,,6810980,1,20250702,2355,10,2,,24,4,,0,,0,,0,0,0,0,,0,3,202507022355,34.652222033344536,135.48972200000003,,
86,,6810990,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,35.551944034520155,136.098333,,
86,,6811000,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.530000034492396,136.094444,,
86,,6811010,1,20250702,2355,2,0,,0,4,,0,,0,,0,0,0,0,,0,3,202507022355,35.47888903442754,136.083056,,
86,,6811020,1,20250702,2355,2,2,,2,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.39750003432375,136.024722,,
86,,6811030,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,35.28722203418211,136.018056,,
86,,6811040,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.24777803413116,135.960556,,
86,,6811050,1,20250702,2355,,,,,,,1,,0,,0,1,1,0,,0,3,202507022355,35.237778034118236,135.943333,,
86,,6811080,1,20250702,2355,13,1,,17,4,,0,,0,,0,0,0,0,,0,3,202507022355,34.71861103343382,135.569444,,
86,,6811140,1,20250702,2355,0,0,,0,0,,0,,0,,0,1,1,0,,0,3,202507022355,34.81806403356681,135.3196,,
86,,6811150,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.16055603401799,135.066111,,
86,,6811160,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.23305603411212,135.020833,,
86,,6811165,1,20250702,2355,1,0,,2,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.28748503418245,134.977245,,
86,,6811170,1,20250702,2355,1,1,,1,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.29111103418713,134.970556,,
86,,6811180,1,20250702,2355,3,0,,3,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.30305603420252,134.92,,
86,,6811190,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.34500003425647,134.801111,,
86,,6811200,1,20250702,2355,0,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.36333303427999,134.759167,,
86,,6811210,1,20250702,2355,0,0,,7,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.49942303445363,134.790538,,
86,,6811220,1,20250702,2355,1,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.474942034422526,134.764925,,
86,,6811230,1,20250702,2355,5,0,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,35.43722003437449,134.767839,,
86,,6811260,1,20250702,2355,1,0,,2,1,,0,,0,,0,0,0,0,,0,3,202507022355,35.01754603383091,136.023618,,
86,,6811310,1,20250702,2355,36,8,,30,6,,0,,0,,0,0,0,0,,0,3,202507022355,34.78856603352747,134.816183,,
86,,6811320,1,20250702,2355,,,,,,,1,,0,,0,0,0,0,,0,3,202507022355,34.81472203356237,134.673055,,
86,,6811340,1,20250702,2355,0,0,,8,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.83503003358942,134.618945,,
86,,6811400,1,20250702,2355,2,1,,0,0,,0,,0,,0,0,0,0,,0,3,202507022355,34.54152803319483,135.675417,,
87,,7810030,1,20250702,2355,1,2,0,11,3,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.46130403308565,133.299608,,
87,,7810060,1,20250702,2355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.391480032990195,132.905302,,
87,,7810080,1,20250702,2355,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.40409903300748,132.811446,,
87,,7810090,1,20250702,2355,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.37165503296302,132.548551,,
87,,7810100,1,20250702,2355,6,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.370314032961176,132.43065,,
87,,7810120,1,20250702,2355,4,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.40929103301459,133.075998,,
87,,7810130,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.394348032994124,133.04909,,
87,,7810140,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.186157032707094,132.173982,,
87,,7810150,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.069307032544415,131.669576,,
87,,7810180,1,20250702,2355,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.03918803250232,131.248456,,
87,,7810220,1,20250702,2355,,,,,,,0,0,0,0,0,1,1,1,1,0,3,202507022355,35.51908503447856,134.20671,,
87,,7810230,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,35.523372034484,134.171906,,
87,,7810250,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,35.51594103447459,134.071698,,
87,,7810280,1,20250702,2355,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.50301603445818,133.70857000000004,,
87,,7810330,1,20250702,2355,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.46553703441056,133.4305,,
87,,7810360,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.43101403436657,133.331902,,
87,,7810380,1,20250702,2355,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.48149203443085,133.474531,,
87,,7810420,1,20250702,2355,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.50747003446383,133.61465,,
87,,7810440,1,20250702,2355,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.40803703433723,133.302548,,
89,,9811380,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,33.29362203143727,130.116435,,
87,,7810500,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.198965034067925,132.455335,,
87,,7810510,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.111949033954616,132.379675,,
87,,7810530,1,20250702,2355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.0882140339236,132.347724,,
87,,7810570,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.92234503370532,132.109083,,
87,,7810580,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.90375903368071,132.105961,,
87,,7810600,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.886378033657664,132.069161,,
87,,7810610,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.8693890336351,132.044972,,
87,,7810650,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.603665033279,131.799331,,
87,,7810660,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.56766203323026,131.793408,,
87,,7810670,1,20250702,2355,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.4411940330582,131.772423,,
87,,7810680,1,20250702,2355,9,1,0,12,4,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.44391203438301,133.070902,,
87,,7810690,1,20250702,2355,10,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.435857034372745,133.036623,,
87,,7810730,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,35.0087950338194,132.223163,,
87,,7810780,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.245635032789465,131.522947,,
87,,7810790,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.190602032713265,131.483723,,
87,,7810830,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,35.36752203428536,134.328439,,
87,,7810840,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,35.47203803441882,134.240441,,
87,,7810850,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,35.49999403445436,134.20171,,
87,,7810870,1,20250702,2355,,,,,,,0,0,0,0,0,1,1,0,1,0,3,202507022355,34.52362703317051,133.901839,,
87,,7810900,1,20250702,2355,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.9118280336914,133.946407,,
87,,7810940,1,20250702,2355,,,,,,,0,0,0,0,0,0,0,0,1,0,3,202507022355,35.342837034253684,134.203706,,
87,,7810950,1,20250702,2355,,,,,,,0,0,0,0,0,1,1,0,1,0,3,202507022355,35.3698230342883,134.215379,,
87,,7810960,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.64456803333422,132.667015,,
87,,7810970,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.68134903338374,132.742245,,
87,,7810980,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.81798703356671,132.823527,,
87,,7810990,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.86090703362384,132.793186,,
87,,7811020,1,20250702,2355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,35.33258003424051,132.907662,,
87,,7811070,1,20250702,2355,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.23547503277542,132.6053,,
87,,7811080,1,20250702,2355,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.220918032755264,132.662702,,
87,,7811090,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.27213903282609,132.728126,,
87,,7811100,1,20250702,2355,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.33997203291951,132.948483,,
87,,7811120,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.9055670323146,132.028679,,
87,,7811130,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.93038903234958,131.978502,,
87,,7811140,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.976741032414765,131.89892000000003,,
87,,7811150,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.97531203241275,131.223377,,
87,,7811160,1,20250702,2355,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.0254670324831,131.108286,,
87,,7811170,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.06179303253392,130.910708,,
87,,7811190,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.372636032964365,131.13719,,
87,,7811200,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.36655403295601,131.21721,,
87,,7811210,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.36556503295465,131.327923,,
87,,7811220,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.46117103308548,131.429169,,
87,,7811230,1,20250702,2355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.53625103318765,131.50609,,
87,,7811240,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.97863403241742,130.917824,,
87,,7811250,1,20250702,2355,,,,,,,0,0,0,0,0,1,1,1,1,0,3,202507022355,34.371174032962365,131.269202,,
87,,7811260,1,20250702,2355,,,,,,,1,,,,,,,,,,3,202507022355,34.386217032983,131.345346,,
87,,7811280,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.98188003242198,130.919334,,
87,,7811310,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.274175032828886,132.632159,,
88,,8810010,1,20250702,2355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.22576903276199,134.506281,,
88,,8810040,1,20250702,2355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.21202803274294,134.426444,,
88,,8810050,1,20250702,2355,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.2426940327854,134.369389,,
88,,8810060,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.24194403278437,134.333056,,
88,,8810070,1,20250702,2355,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.3096610328778,134.235686,,
88,,8810080,1,20250702,2355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.323825032897304,134.203003,,
88,,8810090,1,20250702,2355,,,,5,3,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.31055603287904,134.040556,,
88,,8810100,1,20250702,2355,16,2,0,,,,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.31083303287942,134.040833,,
88,,8810110,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.296344462859466,133.9267892,,
88,,8810120,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.30830303287593,133.886,,
88,,8810130,1,20250702,2355,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.28116903283854,133.818719,,
88,,8810150,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,33.79388903215663,132.931944,,
88,,8810160,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,34.251008032796896,133.916925,,
88,,8810170,1,20250702,2355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.183472032703364,133.834944,,
88,,8810180,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.15741703266719,133.82277800000003,,
88,,8810210,1,20250702,2355,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,34.02985603248925,133.814811,,
88,,8810220,1,20250702,2355,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.99827503244498,133.788456,,
88,,8810270,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,33.699149792021856,133.6898053,,
88,,8810310,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,33.65416703195762,133.66,,
88,,8810340,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,33.55527803181588,133.460556,,
88,,8810350,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.54658334180337,133.423537,,
88,,8810380,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.555000031815474,133.139444,,
88,,8810400,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,33.58111103185298,132.9925,,
88,,8810410,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.61805603190595,132.933333,,
88,,8810420,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.62777803191986,132.916389,,
88,,8810430,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.646667031946905,132.905833,,
88,,8810450,1,20250702,2355,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.68178252199708,132.8835762,,
88,,8810510,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202507022355,33.73555603207373,132.811667,,
88,,8810520,1,20250702,2355,,,,,,,1,0,0,0,0,0,0,0,0,0,6,202507022355,33.80277803216924,132.7775,,
88,,8810530,1,20250702,2355,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.80679213217494,132.7455604,,
88,,8810560,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.883114032282926,134.645522,,
88,,8810570,1,20250702,2355,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.87310303226879,134.637228,,
88,,8810580,1,20250702,2355,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.8064830321745,134.590708,,
88,,8810640,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.72289703205572,134.519397,,
88,,8810660,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.66041903196656,134.406369,,
88,,8810670,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.58200303185425,134.323467,,
88,,8810690,1,20250702,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202507022355,33.49111103172349,134.261667,,
