FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.25148158.202505161905,87,,7110050,1,20250516,1905,117,8,0,0,0,0,0,104,9,0,0,0,0,0,3,202505161905,34.48565560311886,133.3551943,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148159.202505161905,87,,7110060,1,20250516,1905,127,11,0,0,0,0,0,130,7,0,0,0,0,0,3,202505161905,34.42263781303284,133.2070398,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148160.202505161905,87,,7110070,1,20250516,1905,92,5,0,0,0,0,0,80,6,0,0,0,0,0,3,202505161905,34.407573573012236,133.1699288,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148161.202505161905,87,,7110080,1,20250516,1905,27,3,0,0,0,0,0,24,3,0,0,0,0,0,3,202505161905,34.405688133009654,132.9629534,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148162.202505161905,87,,7110100,1,20250516,1905,6,0,0,0,0,0,0,3,2,0,0,0,0,0,3,202505161905,35.525440034486614,134.401402,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148163.202505161905,87,,7110120,1,20250516,1905,,,,0,0,0,1,,,,0,0,0,1,3,202505161905,35.52073503448066,133.602321,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148164.202505161905,87,,7110130,1,20250516,1905,73,11,0,0,0,0,0,53,6,0,0,0,0,0,3,202505161905,35.41880503435098,133.370183,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148165.202505161905,87,,7110220,1,20250516,1905,,,,0,0,0,1,,,,0,0,0,1,3,202505161905,35.19265103405972,134.203535,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148166.202505161905,87,,7110230,1,20250516,1905,31,2,0,0,0,0,0,23,1,0,0,0,0,0,3,202505161905,34.76131441349103,132.8171003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148167.202505161905,87,,7110300,1,20250516,1905,144,5,0,0,0,0,0,106,6,0,0,0,0,0,3,202505161905,34.38300703297858,132.459786,132.459786,34.38300703297858,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148168.202505161905,87,,7110310,1,20250516,1905,35,0,0,0,0,1,0,49,5,0,0,0,0,0,3,202505161905,34.37385803296604,132.421237,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148169.202505161905,87,,7116080,1,20250516,1905,52,5,0,0,0,0,0,57,8,0,0,0,0,0,3,202505161905,34.39666703299729,133.151389,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148170.202505161905,87,,7160010,1,20250516,1905,,,,0,0,0,1,,,,0,0,0,1,1,202505161905,34.5622222532229,133.1247222,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148171.202505161905,87,,7160020,1,20250516,1905,11,3,0,0,0,0,0,7,2,0,0,0,0,0,1,202505161905,35.07931507391195,132.8976065,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148172.202505161905,87,,7310030,1,20250516,1905,87,11,0,0,0,0,0,66,3,0,0,0,0,0,3,202505161905,34.49757349313508,133.4192187,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148173.202505161905,87,,7310040,1,20250516,1905,111,10,0,0,0,0,0,111,8,0,0,0,0,0,3,202505161905,34.4518823230728,133.2408893,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148174.202505161905,87,,7310050,1,20250516,1905,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,202505161905,35.52642103448786,134.014803,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148175.202505161905,87,,7310070,1,20250516,1905,19,1,0,0,0,0,0,14,1,0,0,0,0,0,3,202505161905,35.51442503447265,134.020507,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148176.202505161905,87,,7310080,1,20250516,1905,,,,0,0,0,1,,,,0,0,0,1,3,202505161905,35.50773503446417,133.951629,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25148177.202505161905,87,,7310100,1,20250516,1905,12,0,0,0,0,0,0,9,0,0,0,0,0,0,3,202505161905,35.508808034465545,133.493736,,,,,,,,,,,,,,,,,
