FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,上り・自動車交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,color
t_travospublic_measure_5m.25099837.202505161405,87,,7110050,1,20250516,1405,76,31,0,0,0,0,0,97,18,0,0,0,0,0,3,202505161405,34.48565560311886,133.3551943,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099838.202505161405,87,,7110060,1,20250516,1405,78,21,0,0,0,0,0,121,20,0,0,0,0,0,3,202505161405,34.42263781303284,133.2070398,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099839.202505161405,87,,7110070,1,20250516,1405,61,17,0,0,0,0,0,70,20,0,0,0,0,0,3,202505161405,34.407573573012236,133.1699288,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099840.202505161405,87,,7110080,1,20250516,1405,27,8,0,0,0,0,0,26,11,0,0,0,0,0,3,202505161405,34.405688133009654,132.9629534,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099841.202505161405,87,,7110100,1,20250516,1405,6,1,0,0,0,0,0,6,1,0,0,0,0,0,3,202505161405,35.525440034486614,134.401402,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099842.202505161405,87,,7110120,1,20250516,1405,,,,0,0,0,1,,,,0,0,0,1,3,202505161405,35.52073503448066,133.602321,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099843.202505161405,87,,7110130,1,20250516,1405,50,13,0,0,0,0,0,57,27,0,0,0,0,0,3,202505161405,35.41880503435098,133.370183,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099844.202505161405,87,,7110220,1,20250516,1405,,,,0,0,0,1,,,,0,0,0,1,3,202505161405,35.19265103405972,134.203535,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099845.202505161405,87,,7110230,1,20250516,1405,31,9,0,0,0,0,0,17,5,0,0,0,0,0,3,202505161405,34.76131441349103,132.8171003,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099846.202505161405,87,,7110300,1,20250516,1405,97,12,0,0,0,0,0,108,18,0,0,0,0,0,3,202505161405,34.38300703297858,132.459786,132.459786,34.38300703297858,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099847.202505161405,87,,7110310,1,20250516,1405,30,5,0,0,0,1,0,40,9,0,0,0,0,0,3,202505161405,34.37385803296604,132.421237,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099848.202505161405,87,,7116080,1,20250516,1405,34,16,0,0,0,0,0,39,20,0,0,0,0,0,3,202505161405,34.39666703299729,133.151389,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099849.202505161405,87,,7160010,1,20250516,1405,,,,0,0,0,1,,,,0,0,0,1,1,202505161405,34.5622222532229,133.1247222,,,,,,,,,,,,,,,,,
t_travospublic_measure_5m.25099850.202505161405,87,,7160020,1,20250516,1405,23,6,0,0,0,0,0,10,4,0,0,0,0,0,1,202505161405,35.07931507391195,132.8976065,,,,,,,,,,,,,,,,,
